word,phonetic,pos,definition,source
abdicate,'æbdɪket,,v.退位；放弃,GMAT
abnormal,æbˈnɔːrml,,a.反常的，不规则的；变态的,GMAT
abolish,ə'bɑlɪʃ,,v.废除，废止；取消，革除,GMAT
absenteeism,",æbsən'tiɪzəm",,n.旷工；旷课；有计划的怠工；经常无故缺席,GMAT
absorb,æbˈsɔrb; æbˈzɔrb; əbˈsɔrb,,v.吸收；吸引；承受；理解；使…全神贯注,GMAT
abstract,'æbstrækt,,n.摘要；抽象；抽象的概念 a.抽象的；深奥的 v.摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉,GMAT
absurd,"əbˈsɚd, -ˈzɚd",,a.荒谬的；可笑的 n.荒诞；荒诞作品,GMAT
abundant,ə'bʌndənt,,a.丰富的；充裕的；盛产,GMAT
academic,",ækə'dɛmɪk",,a.学术的；理论的；学院的 n.大学生，大学教师；学者,GMAT
accelerate,əkˈsɛləˌret,,v.使……加快；使……增速,GMAT
access,'æksɛs,,v.使用；存取；接近 n.进入；使用权；通路,GMAT
accessible,ək'sɛsəbl,,a.易接近的；可进入的；可理解的,GMAT
acclaim,ə'klem,,v.称赞；为…喝彩，向…欢呼 n.欢呼，喝彩；称赞,GMAT
accommodate,ə'kɑmədet,,v.容纳；使适应；供应；调解,GMAT
accompaniment,ə'kʌmpənɪmənt,,n.伴奏；伴随物,GMAT
accomplish,ə'kɑmplɪʃ,,v.完成；实现；达到,GMAT
accord,ə'kɔrd,,n.符合；一致；协议；自愿 v.使一致；给予,GMAT
accordingly,ə'kɔrdɪŋli,,ad.因此，于是；相应地；照著,GMAT
accountant,ə'kaʊntənt,,n.会计师；会计人员,GMAT
accounting,ə'kaʊntɪŋ,,n.会计，会计学；账单 v.解释（account的ing形式）；叙述,GMAT
accretion,ə'kriʃən,,n.添加；增加物；连生；冲积层,GMAT
accrue,ə'kru,,v.产生；自然增长或利益增加,GMAT
accumulate,ə'kjumjəlet,,v.累积；积聚,GMAT
accuracy,'ækjərəsi,,n.[数] 精确度，准确性,GMAT
accurate,'ækjərət,,a.精确的,GMAT
accustomed,ə'kʌstəmd,,a.习惯的；通常的；独有的 v.使习惯于（accustom的过去分词）,GMAT
acidity,ə'sɪdəti,,n.酸度；酸性；酸过多；胃酸过多,GMAT
acknowledge,ək'nɑlɪdʒ,,v.承认；答谢；报偿；告知已收到,GMAT
acoustic,ə'kʊstɪk,,a.声学的；音响的；听觉的 n.原声乐器；不用电传音的乐器,GMAT
acoustical,ə'kʊstɪkl,,a.[声] 声学的；听觉的；音响的,GMAT
acquiesce,",ækwi'es",,v.默许；勉强同意,GMAT
acquire,ə'kwaɪr,,v.获得；取得；学到；捕获,GMAT
acquisition,",ækwɪ'zɪʃən",,n.获得物，获得；收购,GMAT
acreage,'ekərɪdʒ,,n.面积，英亩数,GMAT
activate,'æktə'vet,,v.刺激；使活动；使活泼；使产生放射性,GMAT
activism,'æktəvɪzəm,,n.行动主义；激进主义,GMAT
activist,'æktɪvɪst,,n.积极分子；激进主义分子,GMAT
acute,ə'kjut,,a.严重的，[医] 急性的；敏锐的；激烈的；尖声的,GMAT
adapt,ə'dæpt,,v.使适应；改编,GMAT
adaptation,",ædæp'teʃən",,n.适应；改编；改编本，改写本,GMAT
adapter,ə'dæptɚ,,n.适配器；改编者；接合器；适应者,GMAT
addict,'ædɪkt (for n.); əˈdɪkt (for v.),,n.有瘾的人；入迷的人 v.使沉溺；使上瘾,GMAT
addictive,ə'dɪktɪv,,a.使人上瘾的,GMAT
addition,ə'dɪʃən,,n.添加；[数] 加法；增加物,GMAT
additive,'ædətɪv,,n.添加剂，添加物 a.附加的；[数] 加法的,GMAT
adept,ə'dɛpt,,a.熟练的；擅长…的 n.内行；能手,GMAT
adhere,əd'hɪr,,v.坚持；依附；粘着；追随,GMAT
adherence,əd'hɪrəns,,n.坚持；依附；忠诚,GMAT
adjacent,ə'dʒesnt,,a.邻近的，毗连的,GMAT
adjust,ə'dʒʌst,,v.调整，使…适合；校准,GMAT
administer,əd'mɪnɪstɚ,,v.管理；执行；给予,GMAT
admit,əd'mɪt,,v.承认；准许进入；可容纳,GMAT
adolescent,",ædə'lɛsnt",,a.青春期的；未成熟的 n.青少年,GMAT
adoption,ə'dɑpʃən,,n.采用；收养；接受,GMAT
advent,'ædvənt,,n.到来；出现；基督降临；基督降临节,GMAT
adverse,"ædˈvɚs, ˈædˌvɚs",,a.不利的；相反的；敌对的（名词adverseness，副词adversely）,GMAT
advertising,'ædvɚ'taɪzɪŋ,,n.广告；广告业；登广告 a.广告的；广告业的 v.公告；为…做广告（advertise的ing形式）,GMAT
advocacy,'ædvəkəsi,,n.主张；拥护；辩护,GMAT
aerodynamic,",ɛrodaɪ'næmɪk",,a.空气动力学的，[航] 航空动力学的,GMAT
affiliation,"ə,fɪlɪ'eʃən",,n.友好关系；加入；联盟；从属关系,GMAT
affirmative,ə'fɝmətɪv,,a.肯定的；积极的 n.肯定语；赞成的一方,GMAT
afflict,ə'flɪkt,,v.折磨；使痛苦；使苦恼,GMAT
affluent,'æfluənt,,a.富裕的；丰富的；流畅的 n.支流；富人,GMAT
affordable,ə'fɔrdəbl,,a.负担得起的,GMAT
aftermath,'æftəmæθ,,n.后果；余波,GMAT
aggravate,'æɡrəvet,,v.加重；使恶化；激怒,GMAT
aggregate,'æɡrɪɡət; (for v.) æɡrɪˌɡet,,v.集合；聚集；合计 n.合计；集合体；总计 a.聚合的；集合的；合计的,GMAT
aggression,ə'ɡrɛʃən,,n.侵略；进攻；侵犯；侵害,GMAT
aggressive,ə'ɡrɛsɪv,,a.侵略性的；好斗的；有进取心的；有闯劲的,GMAT
agrarian,ə'ɡrɛrɪən,,a.土地的；耕地的；有关土地的,GMAT
ailment,'elmənt,,n.小病；不安,GMAT
airliner,'ɛrlaɪnɚ,,n.班机；大型客机,GMAT
ale,el,,n.麦芽酒,GMAT
alga,'ælgɚ,,n.水藻,GMAT
alien,"ˈeliən,ˈeljən",,a.外国的；相异的，性质不同的；不相容的 n.外国人，外侨；外星人 v.让渡，转让,GMAT
alignment,ə'laɪnmənt,,n.队列，成直线；校准；结盟,GMAT
allay,ə'le,,v.减轻；使缓和；使平静,GMAT
allege,ə'lɛdʒ,,v.宣称，断言；提出…作为理由,GMAT
allegiance,ə'lidʒəns,,n.效忠，忠诚；忠贞,GMAT
allergic,ə'lɝdʒɪk,,a.对…过敏的；对…极讨厌的,GMAT
allergy,'ælɚdʒi,,n.过敏症；反感；厌恶,GMAT
alleviate,ə'livɪ'et,,v.减轻，缓和,GMAT
alliance,ə'laɪəns,,n.联盟，联合；联姻,GMAT
alligator,'ælɪɡetɚ,,n.短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具 v.皱裂；裂开 a.鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的,GMAT
allocate,'æləket,,v.分配；拨出；使坐落于,GMAT
allotment,ə'lɑtmənt,,n.分配；分配物；养家费；命运,GMAT
allowance,ə'laʊəns,,n.津贴，零用钱；允许；限额 v.定量供应,GMAT
allude,ə'lʊd,,v.暗指，转弯抹角地说到；略为提及，顺便提到,GMAT
alluvial,ə'lʊvɪəl,,a.冲积的,GMAT
ally,'ælaɪ,,n.同盟国；伙伴；同盟者；助手 v.使联盟；使联合,GMAT
alpha,'ælfə,,n.希腊字母的第一个字母；开端；最初,GMAT
alter,'ɔltɚ,,v.改变，更改 n.(Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特,GMAT
alternate,'ɔltɚnət,,v.交替；轮流 a.交替的；轮流的 n.替换物,GMAT
alternative,ɔl'tɝnətɪv,,a.供选择的；选择性的；交替的 n.二中择一；供替代的选择,GMAT
altitude,'æltɪtud,,n.高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔,GMAT
altruism,'æltruɪzəm,,n.利他；利他主义,GMAT
aluminum,ə'lʊmɪnəm,,n.铝,GMAT
alumna,ə'lʌmnə,,n.女毕业生；女校友,GMAT
alumnus,ə'lʌmnəs,,n.男校友；男毕业生,GMAT
amalgam,ə'mælɡəm,,n.[材] 汞合金，[化工] 汞齐；混合物,GMAT
amass,ə'mæs,,v.积聚，积累,GMAT
amateur,ˈæmətər,,n.爱好者；业余爱好者；外行 a.业余的；外行的,GMAT
amber,'æmbɚ,,a.琥珀色的；琥珀制的 n.琥珀；琥珀色 vt.使呈琥珀色,GMAT
ambiguity,",æmbɪ'ɡjuəti",,n.含糊；不明确；暧昧；模棱两可的话,GMAT
ambiguous,æm'bɪɡjuəs,,a.模糊不清的；引起歧义的,GMAT
