word,phonetic,pos,definition,source
classroom,'klæsrʊm,,教室,人教小学四年级
window,'wɪndo,,窗户,人教小学四年级
blackboard,'blækbɔrd,,黑板,人教小学四年级
light,laɪt,,电灯,人教小学四年级
picture,'pɪktʃɚ,,图画,人教小学四年级
door,dɔr,,门,人教小学四年级
teacher's desk,,,讲台,人教小学四年级
computer,kəm'pjutɚ,,计算机,人教小学四年级
fan,fæn,,风扇,人教小学四年级
wall,wɔl,,墙壁,人教小学四年级
floor,flɔr,,地板,人教小学四年级
really,"ˈriəˌli, ˈrili",,真的,人教小学四年级
near,nɪr,,距离近,人教小学四年级
TV,ˌti vi,,电视,人教小学四年级
clean,klin,,打扫,人教小学四年级
help,hɛlp,,帮助,人教小学四年级
schoolbag,ˈskulˌbæɡ,,书包,人教小学四年级
maths book,,,数学书,人教小学四年级
English book,,,英语书,人教小学四年级
Chinese book,tʃaɪˈniz bʊk,,语文书,人教小学四年级
storybook,'stɔrɪ'bʊk,,故事书,人教小学四年级
candy,ˈkændɪ,,糖果,人教小学四年级
notebook,'notbʊk,,笔记本,人教小学四年级
toy,tɔɪ,,玩具,人教小学四年级
key,kiː,,钥匙,人教小学四年级
wow,wou,,呀,人教小学四年级
lost,lɔst,,丢失,人教小学四年级
so much,,,非常地,人教小学四年级
cute,kjʊt,,可爱的,人教小学四年级
strong,strɔŋ,,强壮的,人教小学四年级
friendly,ˈfrɛndlɪ,,友好的,人教小学四年级
quiet,'kwaɪət,,安静的,人教小学四年级
hair,hɛr,,头发,人教小学四年级
shoe,ʃu,,鞋,人教小学四年级
glasses,'glæsɪz,,眼镜,人教小学四年级
his,hɪz,,他的,人教小学四年级
or,ɔr,,或者,人教小学四年级
right,raɪt,,对的,人教小学四年级
hat,hæt,,帽子,人教小学四年级
her,hɚ,,她的,人教小学四年级
bedroom,'bɛdrum,,卧室,人教小学四年级
living room,'lɪvɪŋ rum,,客厅,人教小学四年级
study,'stʌdi,,书房,人教小学四年级
kitchen,'kɪtʃɪn,,厨房,人教小学四年级
bathroom,'bæθrum,,浴室,人教小学四年级
bed,bɛd,,床,人教小学四年级
phone,fon,,电话,人教小学四年级
table,'tebl,,桌子,人教小学四年级
sofa,'sofə,,长沙发,人教小学四年级
fridge,frɪdʒ,,冰箱,人教小学四年级
find,faɪnd,,找到,人教小学四年级
them,ðɛm; ðəm,,他们,人教小学四年级
beef,bif,,牛肉,人教小学四年级
chicken,ˈtʃɪkɪn,,鸡肉,人教小学四年级
noodles,ˈnudlz,,面条,人教小学四年级
soup,sup,,汤,人教小学四年级
vegetable,ˈvɛdʒtəbl,,蔬菜,人教小学四年级
chopsticks,"'tʃɑp,stɪks",,筷子,人教小学四年级
bowl,bol,,碗,人教小学四年级
