word,phonetic,pos,definition,source
textbook,'tɛkstbʊk,,n.教科书；课本,人教初中九年级
conversation,",kɑnvɚ'seʃən",,n.交谈；谈话,人教初中九年级
aloud,ə'laʊd,,ad.大声地；出声地,人教初中九年级
pronunciation,"prə,nʌnsɪ'eʃən",,n.发音；读音,人教初中九年级
sentence,'sɛntəns,,n.句子,人教初中九年级
patient,ˈpeʃənt,,a.有耐心的 n.病人,人教初中九年级
expression,ɪk'sprɛʃən,,n.表达（方式）；表示,人教初中九年级
discover,dɪ'skʌvɚ,,v.发现,人教初中九年级
secret,'sikrɪt,,n.秘密；秘诀 a.秘密的；保密的,人教初中九年级
fall in love with,,,爱上；与...相爱,人教初中九年级
grammar,'græmɚ,,n.语法,人教初中九年级
repeat,rɪ'pit,,v.重复；重说；重写；重做,人教初中九年级
note,not,,n.笔记；记录 v.注意；指出,人教初中九年级
pal,pæl,,n.朋友；伙伴,人教初中九年级
pattern,'pætɚn,,n.模式；方式,人教初中九年级
physics,'fɪzɪks,,n.物理；物理学,人教初中九年级
chemistry,'kɛmɪstri,,n.化学,人教初中九年级
partner,'pɑrtnɚ,,n.搭档；同伴,人教初中九年级
pronounce,prə'naʊns,,v.发音,人教初中九年级
increase,'ɪnkris,,v.增加；增长,人教初中九年级
speed,spid,,n.速度,人教初中九年级
ability,əˈbɪlətɪ,,n.能力；才能,人教初中九年级
brain,bren,,n.大脑,人教初中九年级
active,'æktɪv,,a.活跃的；积极的,人教初中九年级
attention,ə'tɛnʃən,,n.注意；关注,人教初中九年级
pay attention to,,,注意；关注,人教初中九年级
connect,kə'nɛkt,,v.（使）连接；与...有联系,人教初中九年级
connect … with,,,把...和...连接或联系起来,人教初中九年级
overnight,'ovənaɪt,,ad.一夜之间；在夜间,人教初中九年级
review,rɪ'vju,,n.回顾 v.复习；回顾,人教初中九年级
knowledge,'nɑlɪdʒ,,n.知识；学问,人教初中九年级
wisely,'waɪzli,,ad.明智地；聪明地,人教初中九年级
Annie,'æni,,安妮（女名）,人教初中九年级
Alexander Graham Bell,,,亚历山大 • 格雷厄姆 • 贝尔,人教初中九年级
lantern,'læntɚn,,n.灯笼,人教初中九年级
stranger,'strendʒɚ,,n.陌生人,人教初中九年级
relative,'rɛlətɪv,,n.亲属；亲戚,人教初中九年级
put on,pʊt ɑn,,增加（体重）；发胖,人教初中九年级
pound,paʊnd,,n.磅（重量单位）；英镑（英国货币单位）,人教初中九年级
folk,fok,,a.民间的；民俗的,人教初中九年级
goddess,ɡɑdɪs,,n.女神,人教初中九年级
steal,stil,,v.偷；窃取,人教初中九年级
lay,le,,v.放置；安放；产（卵）；下（蛋）,人教初中九年级
lay out,"'lei,aut",,摆放；布置,人教初中九年级
dessert,dɪ'zɝt,,n.（饭后）甜点；甜食,人教初中九年级
garden,'ɡɑrdn,,n.花园；园子,人教初中九年级
admire,ədˈmaɪr,,v.欣赏；仰慕,人教初中九年级
tie,taɪ,,n.领带 v.捆；束,人教初中九年级
haunted,'hɔntɪd,,a.有鬼魂出没的；闹鬼的,人教初中九年级
ghost,ɡost,,n.鬼；鬼魂,人教初中九年级
trick,trɪk,,n.花招；把戏,人教初中九年级
treat,trit,,n.款待；招待 v.招待；请（客）,人教初中九年级
spider,'spaɪdɚ,,n.蜘蛛,人教初中九年级
Christmas,ˈkrɪsməs,,n.圣诞节,人教初中九年级
fool,ful,,n.蠢人；傻瓜 v.愚弄 a.愚蠢的,人教初中九年级
lie,laɪ,,v.平躺；处于,人教初中九年级
novel,ˈnɑːvl,,n.（长篇）小说,人教初中九年级
eve,iːv,,n.（尤指宗教节假日的）前夕；前夜,人教初中九年级
bookstore,bʊkstɔr,,n.书店,人教初中九年级
dead,dɛd,,a.死的；失去生命的,人教初中九年级
business,ˈbɪznɪs,,n.生意；商业,人教初中九年级
punish,'pʌnɪʃ,,v.处罚；惩罚,人教初中九年级
warn,wɔrn,,v.警告；告诫,人教初中九年级
present,prɪˈzɛnt;(for n.)ˈprɛznt,,n.礼物；现在 a.现在的,人教初中九年级
nobody,"'nəubədi, -bɔdi",,pron.没有人,人教初中九年级
warmth,wɔrmθ,,n.温暖；暖和,人教初中九年级
spread,sprɛd,,n.蔓延；传播 v.传播；展开,人教初中九年级
Macao,mə'kau,,澳门,人教初中九年级
Chiang Mai,,,清迈（泰国城市）,人教初中九年级
Halloween,ˌhæloˈin,,万圣节前夕,人教初中九年级
Valentine’s Day,,,情人节,人教初中九年级
Clara,'klærə,,克拉拉（女名）,人教初中九年级
Santa,'sæntə,,圣诞老人,人教初中九年级
Charles  Dickens,,,查尔斯 • 狄更斯（英国作家）,人教初中九年级
Scrooge,'skru:dʒ,,斯克鲁奇 n.（非正式）吝啬鬼,人教初中九年级
Jacob   Marley,,,雅各布 • 马利,人教初中九年级
restroom,'rɛstrum,,n.（美）洗手间；公共厕所,人教初中九年级
stamp,stæmp,,n.邮票；印章,人教初中九年级
postcard,'post'kɑrd,,n.明信片,人教初中九年级
pardon,'pɑrdn,,interj.请再说一遍；抱歉，对不起,人教初中九年级
washroom,'wɑʃrum,,n.洗手间；厕所,人教初中九年级
bathroom,'bæθrum,,n.洗手间；浴室,人教初中九年级
quick,kwɪk,,a.快的；迅速的 ad.快速地；迅速地,人教初中九年级
rush,rʌʃ,,v.仓促；急促 n.冲，奔,人教初中九年级
suggest,sə'dʒɛst,,v.建议；提议,人教初中九年级
staff,stæf,,n.全体职员；职工,人教初中九年级
grape,ɡrep,,n.葡萄,人教初中九年级
central,'sɛntrəl,,a.中心的；中央的,人教初中九年级
mail,mel,,n.邮件；信件 v.邮寄；发电子邮件,人教初中九年级
east,ist,,a.东方的；东部的 ad.向东；朝东 n.东；东方,人教初中九年级
fascinating,'fæsɪnetɪŋ,,a.迷人的；极有吸引力的,人教初中九年级
convenient,kənˈvinjənt,,a.便利的；方便的,人教初中九年级
mall,mɔl,,n.商场；购物中心,人教初中九年级
clerk,klɝk,,n.职员,人教初中九年级
corner,'kɔrnɚ,,n.角；拐角；角落,人教初中九年级
polite,pə'laɪt,,a.有礼貌的；客气的,人教初中九年级
politely,pə'laɪtli,,ad.礼貌地；客气地,人教初中九年级
speaker,'spikɚ,,n.发言者；讲（某种语言）的人,人教初中九年级
request,rɪ'kwɛst,,n.要求；请求,人教初中九年级
choice,tʃɔɪs,,n.选择；挑选,人教初中九年级
direction,dəˈrɛkʃən; (also) daɪˈrɛkʃən,,n.方向；方位,人教初中九年级
correct,kə'rɛkt,,a.正确的；恰当的,人教初中九年级
direct,dəˈrɛkt; daɪˈrɛkt,,a.直接的；直率的,人教初中九年级
whom,hum,,pron.谁；什么人,人教初中九年级
address,əˈdrɛs;(for n)ˈædres; ædrɛs,,n.住址； 地址；通讯处,人教初中九年级
faithfully,'feθfəli,,ad.忠实地；忠诚地,人教初中九年级
Italian,ɪˈtæljən,,a.意大利（人）的； n.意大利人；意大利语,人教初中九年级
Kevin,'kevin,,凯文（男名）,人教初中九年级
Tim,tim,,蒂姆（男名）,人教初中九年级
humorous,'hjumərəs,,a.有幽默感的；滑稽有趣的,人教初中九年级
silent,'saɪlənt,,a.不说话的；沉默的,人教初中九年级
helpful,'hɛlpfl,,a.有用的；有帮助的,人教初中九年级
from time to time,,,时常；有时,人教初中九年级
score,skɔ,,n.得分 v.打分,人教初中九年级
background,'bækɡraʊnd,,n.背景,人教初中九年级
interview,'ɪntɚvju,,v.采访；面试 n.面试；访谈,人教初中九年级
Asian,"ˈeʒən, ˈeʃən",,a.亚洲的；亚洲人的 n.亚洲人,人教初中九年级
deal with,,,对付；应付,人教初中九年级
dare,dɛr,,v.敢于；胆敢,人教初中九年级
private,ˈpraɪvɪt,,a.私人的,人教初中九年级
guard,ɡɑrd,,n.警卫；看守 v.守卫；保卫,人教初中九年级
require,rɪ'kwaɪr,,v.需要；要求,人教初中九年级
European,'jʊrə'piən,,a.欧洲的；欧洲人的,人教初中九年级
British,'brɪtɪʃ,,a.英国的；英国人的,人教初中九年级
speech,spitʃ,,n.讲话；言语能力；演讲,人教初中九年级
ant,ænt,,n.蚂蚁,人教初中九年级
insect,'ɪnsɛkt,,n.昆虫,人教初中九年级
influence,'ɪnfluəns,,n.影响 v.影响,人教初中九年级
seldom,'sɛldəm,,ad.不常；很少,人教初中九年级
proud,praʊd,,a.自豪的；骄傲的,人教初中九年级
be proud of,,,为...骄傲；感到自豪,人教初中九年级
absent,ˈæbsnt;(for v.)əbˈsɛnt,,a.缺席的；不在的,人教初中九年级
fail,fel,,v.失败；未能（做到）,人教初中九年级
examination,ɪg'zæmə'neʃən,,n.考试；审查,人教初中九年级
boarding school,,,寄宿学校,人教初中九年级
leaf,lif,,n.叶子,人教初中九年级
in person,,,亲身；亲自,人教初中九年级
